,Album_Name,track_name,id,Artist,acousticness,danceability,speechiness,instrumentalness,liveness,energy,valence,duration_ms,key,mode,loudness,tempo,time_signature
0,Songs For You,Feelings,5ImmilkfIH2kTLYnGaqOqO,Tinashe,0.137,0.526,0.108,2.39e-05,0.0843,0.609,0.455,185874,2,1,-7.01,155.14,4
1,Songs For You,Life's Too Short,63Zh4dXVMr6KzH9LGg2LAK,Tinashe,0.573,0.639,0.0556,0.0,0.0878,0.555,0.476,191045,0,1,-7.1,77.477,4
2,Songs For You,Hopscotch,2f9FpXmDVxZt7j1mh7Lc2X,Tinashe,0.098,0.913,0.0993,0.000303,0.153,0.639,0.51,191014,0,1,-6.875,100.968,4
3,Songs For You,Stormy Weather,1TWSCQODUrBFcf1BIFad8T,Tinashe,0.118,0.776,0.0481,0.383,0.158,0.487,0.395,189787,10,1,-9.642,113.998,4
4,Songs For You,Save Room for Us,3TMZVleKFb75oUZpp86KPn,Tinashe,0.477,0.758,0.0752,3.78e-05,0.313,0.671,0.416,164718,6,0,-4.766,112.055,4
5,Songs For You,Story of Us,1FoApcZiNshFHhrcA1OeIo,Tinashe,0.307,0.777,0.037,1.74e-05,0.283,0.621,0.212,165289,6,0,-6.977,144.046,4
6,Songs For You,Die A Little Bit,5NzCr1uxJEgmZeK2KoVZrR,Tinashe,0.205,0.922,0.432,3.05e-06,0.37,0.563,0.25,165411,1,1,-6.863,116.095,4
7,Songs For You,Perfect Crime,0LVMeyxadRuo0mSyxzmaha,Tinashe,0.457,0.793,0.135,0.000122,0.171,0.651,0.554,176426,1,0,-6.008,106.043,4
8,Songs For You,Cash Race,5pFoiasS8Eac69lnJApqr1,Tinashe,0.0151,0.667,0.0627,5.48e-06,0.126,0.694,0.52,274050,2,1,-5.805,156.999,4
9,Songs For You,Link Up,0qCLPgY9yoRdDrwoF73Hnq,Tinashe,0.0453,0.861,0.0914,0.00475,0.101,0.554,0.749,208330,8,1,-7.279,82.496,1
10,Songs For You,Touch & Go,0MoGkelRvi3gxZy6kuYHLq,Tinashe,0.438,0.665,0.0462,9.8e-06,0.104,0.506,0.216,255455,8,0,-10.872,132.032,4
11,Songs For You,Know Better,5PjiqTsTLuK1xkTkg0o6go,Tinashe,0.695,0.388,0.0343,4.56e-05,0.098,0.339,0.285,416599,7,0,-8.017,100.056,4
12,Songs For You,You,0ARuMo2bJKZDZNQKxRMWCK,Tinashe,0.679,0.0,0.0,0.0,0.0,0.0267,0.0,6062,6,1,-21.052,0.0,0
13,Songs For You,So Much Better,5x18j216z6EmXsPBmh2xps,Tinashe,0.383,0.416,0.125,3.88e-06,0.133,0.455,0.123,290474,4,0,-9.577,88.724,4
14,Songs For You,Remember When,3RoRgmRrDya2ltHoNvPOkF,Tinashe,0.861,0.546,0.0252,6.28e-06,0.156,0.337,0.255,229867,11,0,-7.134,84.909,4
