,Album_Name,track_name,id,Artist,acousticness,danceability,speechiness,instrumentalness,liveness,energy,valence,duration_ms,key,mode,loudness,tempo,time_signature
0,The Juice: Vol. II,Don't Be Lazy,2GEWEaFGI4Nz28puxMXl8l,Emotional Oranges,0.0222,0.759,0.0501,0.00865,0.18,0.592,0.365,151493,1,1,-7.989,103.075,4
1,The Juice: Vol. II,Just Like You,0sYfwwEy0UyNizk6na4zGm,Emotional Oranges,0.00439,0.722,0.0333,0.000642,0.125,0.683,0.522,215840,1,1,-7.187,101.033,4
2,The Juice: Vol. II,Your Best Friend Is A Hater,7uhYCzp6c1GVN7WlAg5QBL,Emotional Oranges,0.341,0.714,0.0392,7.84e-05,0.112,0.461,0.563,189813,4,0,-8.907,146.014,4
3,The Juice: Vol. II,Iconic,6KyuLCxXDQ7jyVMtMZJZI6,Emotional Oranges,0.225,0.729,0.0438,0.000818,0.076,0.709,0.694,223907,8,1,-5.855,103.028,4
4,The Juice: Vol. II,West Coast Love,4NFD9ea0uH0MtoC30yNYE1,Emotional Oranges,0.00666,0.696,0.0326,0.153,0.14,0.65,0.587,215387,4,0,-5.712,91.997,4
5,The Juice: Vol. II,Not Worth It,0eSx5b1VuqB8ncSmXdhCpV,Emotional Oranges,0.0937,0.758,0.0283,0.000154,0.164,0.53,0.525,186387,4,0,-5.863,108.011,4
6,The Juice: Vol. II,Sundays,2yj8xbWxfrW8azD7VDQBER,Emotional Oranges,0.225,0.737,0.0275,0.106,0.124,0.558,0.416,189093,7,0,-7.596,97.992,4
7,The Juice: Vol. II,Heal My Desires,3vBhSzUg5d9PbOWcF86ucQ,Emotional Oranges,0.519,0.767,0.0285,4.39e-05,0.0782,0.68,0.664,175733,7,1,-7.076,113.995,4
