,Album_Name,track_name,id,Artist,acousticness,danceability,speechiness,instrumentalness,liveness,energy,valence,duration_ms,key,mode,loudness,tempo,time_signature
0,La Linda,Addict,6LEpVRuZWrGVmUOEHneiao,Tei Shi,0.455,0.566,0.0526,0.0,0.163,0.38,0.417,206133,0,1,-8.873,133.998,4
1,La Linda,Alone in the Universe,65VwJKHeoVVZ6SyYOtMlba,Tei Shi,0.434,0.612,0.0465,0.00812,0.322,0.68,0.22,204933,7,1,-7.454,82.051,4
2,La Linda,Even If It Hurts,4qjJ4ijZPu5B0yQhIWtj0u,Tei Shi,0.295,0.738,0.0405,0.00296,0.12,0.675,0.616,251053,11,0,-6.07,95.995,4
3,La Linda,Matando,7k7vlfNo7gD2tP6UxJrG47,Tei Shi,0.351,0.812,0.0846,0.0133,0.0909,0.439,0.594,215613,8,0,-7.093,94.0,4
4,La Linda,Twilight,74jpLWH7mnskDYA5O9Ktmf,Tei Shi,0.46,0.682,0.0333,0.00105,0.223,0.511,0.364,195067,0,0,-7.863,109.92,4
5,La Linda,When He's Done,0UNQgmgW9pbh1I0NksMYB5,Tei Shi,0.232,0.261,0.03,7.89e-05,0.114,0.474,0.147,278333,10,1,-7.424,57.526,4
6,La Linda,Red Light,3xeL21ppGaOlmlS1ikZSUZ,Tei Shi,0.726,0.687,0.0596,0.0031,0.0916,0.481,0.641,160867,1,0,-6.703,147.895,4
7,La Linda,Thief,6X5rGgi90rTD92MCPqETYS,Tei Shi,0.783,0.504,0.0402,0.000377,0.13,0.466,0.178,272280,0,1,-9.745,141.943,4
8,La Linda,No Juegues,2rWkXbYzrbFLkGgmM1sXdN,Tei Shi,0.539,0.652,0.251,0.00634,0.108,0.457,0.113,170347,10,0,-9.774,92.84,4
9,La Linda,A Kiss Goodbye,2jtROQsx5Vi76uWI42CvVc,Tei Shi,0.121,0.664,0.0446,0.112,0.395,0.55,0.704,204387,9,1,-8.931,159.99,4
10,La Linda,We,4bk86AyDhyKiO5468bqwfP,Tei Shi,0.662,0.515,0.0465,0.0139,0.116,0.425,0.125,243573,8,0,-11.924,121.785,4
