,Album_Name,track_name,id,Artist,acousticness,danceability,speechiness,instrumentalness,liveness,energy,valence,duration_ms,key,mode,loudness,tempo,time_signature
0,EVERYBODY'S EVERYTHING,Liar,0lLaHrwW4am60pB79U0P8I,Lil Peep,0.166,0.638,0.0516,0.0,0.0842,0.522,0.263,172480,2,1,-8.652,78.039,4
1,EVERYBODY'S EVERYTHING,AQUAFINA,4nsn9ftA0W71lBXZLgGXho,Lil Peep,0.0274,0.406,0.0601,0.0,0.555,0.494,0.2,182560,1,0,-9.117,139.91,4
2,EVERYBODY'S EVERYTHING,RATCHETS,7jmBfZiExT0En5HJUGM58e,Lil Peep,0.16,0.717,0.0679,0.0,0.352,0.58,0.673,192120,1,0,-8.509,120.039,4
3,EVERYBODY'S EVERYTHING,Fangirl,4Yt4jOTZExnjcrMrN0rGi0,Lil Peep,0.00175,0.483,0.0709,0.0,0.115,0.557,0.267,126480,2,1,-7.372,152.906,4
4,EVERYBODY'S EVERYTHING,LA to London,2i6iKqATm8BnPs0DyuF4WE,Lil Peep,0.0325,0.567,0.0412,2.9e-05,0.135,0.536,0.227,198533,9,1,-7.166,149.942,4
5,EVERYBODY'S EVERYTHING,Rockstarz,5FxbYc0s1MucUcsRtoAPEB,Lil Peep,0.0475,0.603,0.33,0.0,0.0527,0.569,0.565,137707,1,1,-7.119,158.029,4
6,EVERYBODY'S EVERYTHING,Text Me,6Msv5ySzFyjDd1L2sx3753,Lil Peep,0.625,0.569,0.0352,0.0,0.141,0.331,0.183,145080,10,0,-8.083,76.03,4
7,EVERYBODY'S EVERYTHING,PRINCESS,0QaPDP0caifIAFegZb4aqd,Lil Peep,0.334,0.638,0.0273,1.06e-06,0.303,0.567,0.596,250640,4,0,-6.999,110.029,4
8,EVERYBODY'S EVERYTHING,Moving On,3Hmf4dfRIwFaOLLTyDRu3T,Lil Peep,0.00806,0.822,0.0453,0.0,0.108,0.423,0.208,203800,2,1,-4.846,131.951,4
9,EVERYBODY'S EVERYTHING,Belgium,6NzFYtTePXtvszAjhyzKNg,Lil Peep,0.0225,0.733,0.0321,0.000368,0.116,0.644,0.181,240240,4,0,-4.547,140.04,4
10,EVERYBODY'S EVERYTHING,When I Lie,2mIKaCZB2dlRWzRP7z2mwq,Lil Peep,0.003,0.737,0.046,0.0,0.284,0.608,0.279,237000,1,1,-4.429,150.936,4
11,EVERYBODY'S EVERYTHING,I've Been Waiting - Original Version,7JQ1XCwiEwR0as8ynzR6Js,Lil Peep,0.0891,0.729,0.051,2.91e-05,0.173,0.722,0.691,274707,5,0,-5.733,130.046,4
12,EVERYBODY'S EVERYTHING,Live Forever,0glTZHa9SxsDpeCQGc9AVs,Lil Peep,0.141,0.746,0.0343,0.54,0.124,0.622,0.0832,160560,9,1,-6.517,119.973,4
13,EVERYBODY'S EVERYTHING,ghost boy,4Am4agzcSdFnKLSEB56ODY,Lil Peep,0.0325,0.662,0.0251,0.00424,0.153,0.586,0.0726,130973,5,0,-6.287,107.994,4
14,EVERYBODY'S EVERYTHING,Keep My Coo,54qmGkfYnt4bmpAW7354eS,Lil Peep,0.00618,0.816,0.0411,0.0,0.263,0.723,0.0471,266187,2,1,-7.02,119.973,4
15,EVERYBODY'S EVERYTHING,white tee,07stbgVp3PNKRk12IQ0ZCh,Lil Peep,0.268,0.812,0.042,0.0,0.071,0.541,0.77,132227,11,1,-8.912,149.987,4
16,EVERYBODY'S EVERYTHING,cobain,4eL9UZBJ6imyD6brPMTjKs,Lil Peep,0.0247,0.609,0.0432,0.0,0.079,0.64,0.425,150160,10,1,-7.633,141.957,4
17,EVERYBODY'S EVERYTHING,witchblades,1Z8gpnzgTFQKAwmV43iLBB,Lil Peep,0.0242,0.642,0.0696,0.0,0.273,0.538,0.57,150160,8,1,-7.206,143.921,4
18,EVERYBODY'S EVERYTHING,walk away as the door slams - acoustic,5Am6tsnSF2olM1bPpOdZRu,Lil Peep,0.755,0.651,0.0332,0.0,0.115,0.346,0.593,118400,11,1,-8.113,134.93,4
