,Album_Name,track_name,id,Artist,acousticness,danceability,speechiness,instrumentalness,liveness,energy,valence,duration_ms,key,mode,loudness,tempo,time_signature
0,9,Tattoos and Tequila,6227mXo8lJlRv0CNNpFakj,Jason Aldean,0.00304,0.254,0.058,0.0,0.104,0.814,0.53,190093,10,0,-3.534,176.096,4
1,9,Blame It On You,2CwG4BXIlGmmYLDmDvwMTH,Jason Aldean,0.0957,0.484,0.0308,0.000118,0.107,0.783,0.594,215360,2,1,-5.334,137.918,4
2,9,Champagne Town,77ZZ0aKE7Wh22k8gqo5olB,Jason Aldean,0.0429,0.421,0.0351,0.0,0.115,0.6,0.542,191520,4,1,-4.073,148.105,4
3,9,Some Things You Don’t Forget,0Tbds0X7yVxZdzmk9x1lNf,Jason Aldean,0.00229,0.372,0.0389,1.86e-05,0.347,0.858,0.519,199640,7,0,-4.274,165.943,4
4,9,Got What I Got,4TCc369aRPRubv1m8R1TBG,Jason Aldean,0.621,0.512,0.029,1.72e-05,0.513,0.58,0.303,178147,3,0,-6.658,159.847,3
5,9,Keeping It Small Town,7752p1ecAeFcvaL6lEbZF0,Jason Aldean,0.0304,0.56,0.0307,0.0,0.102,0.683,0.875,162093,7,1,-4.987,133.063,4
6,9,Camouflage Hat,0QBwd6OeiDQXVYx7sEXgnJ,Jason Aldean,0.0266,0.565,0.0286,0.000134,0.0978,0.754,0.672,215013,3,1,-6.266,134.008,4
7,9,Came Here To Drink,6Lj79x42WRIncq7Mt12WIr,Jason Aldean,0.157,0.535,0.0285,5.41e-05,0.122,0.596,0.506,182787,4,1,-8.37,124.053,4
8,9,We Back,6UL2RC5J2vMau9KOMKQfJg,Jason Aldean,0.0135,0.433,0.0512,2.01e-06,0.32,0.928,0.552,197160,4,0,-5.117,155.938,4
9,9,Dirt We Were Raised On,4mHJhT7DRwaiknbV09D8KU,Jason Aldean,0.00355,0.258,0.0599,9.08e-05,0.0764,0.816,0.531,216147,11,0,-5.739,205.057,4
10,9,I Don’t Drink Anymore,1cJosCV1FIYqyMzpbrv9SY,Jason Aldean,0.0208,0.565,0.028,2.66e-06,0.108,0.67,0.38,182920,9,1,-5.841,121.983,4
11,9,Cowboy Killer,4XDyJJP7cdinMBQgozNZbq,Jason Aldean,0.00601,0.551,0.032,0.0,0.245,0.82,0.581,176000,4,0,-6.229,126.103,4
12,9,One For The Road,5Il5NxSYq0nN9pX90GvZ3K,Jason Aldean,0.0373,0.457,0.0295,1.07e-06,0.1,0.685,0.468,191120,4,1,-6.338,145.992,4
13,9,Talk About Georgia,5ALPzPUKl3Np5BrYTFs4Pb,Jason Aldean,0.0232,0.434,0.0649,0.0,0.0464,0.889,0.527,164787,2,1,-4.243,154.088,3
14,9,The Same Way,4HoEU1t49bU5JuqaZXQI8v,Jason Aldean,0.0285,0.461,0.0717,0.0,0.355,0.936,0.59,201653,4,0,-3.659,148.041,4
15,9,She Likes It,0zOBo7rVDK90vzOPSIeom8,Jason Aldean,0.0165,0.419,0.0451,4.3e-05,0.128,0.793,0.336,273813,7,1,-3.856,137.925,4
