,Album_Name,Artist,Album_id,Album_uri,Total_Tracks,Release_Date
61,How I Move (feat. Lil Baby),Flipp Dinero,7EvmUXEmIRkFwd2nPVmFiP,spotify:album:7EvmUXEmIRkFwd2nPVmFiP,1,2019-11-15
62,Happy Pill,grandson,7vW54haYLeVcmepdOzY3M6,spotify:album:7vW54haYLeVcmepdOzY3M6,1,2019-11-15
63,Ice Cream Party,Modest Mouse,49YYXxYIS1wEEb71Hydbm5,spotify:album:49YYXxYIS1wEEb71Hydbm5,1,2019-11-15
64,La Linda,Tei Shi,00hYcSKigzR016vKD63ysl,spotify:album:00hYcSKigzR016vKD63ysl,11,2019-11-15
65,Four,Joris Voorn,4RPAXF1SRMDKfp3kYfUwqB,spotify:album:4RPAXF1SRMDKfp3kYfUwqB,14,2019-11-15
66,Litmas,DRAM,5L8tVPZGpNSuPprmu7gqIR,spotify:album:5L8tVPZGpNSuPprmu7gqIR,1,2019-11-15
67,Good Faith,Madeon,6Lq1lrCfkpxKa4jCo5gKWr,spotify:album:6Lq1lrCfkpxKa4jCo5gKWr,10,2019-11-15
68,Kiss Like the Sun,Jake Bugg,0RWM4Z7aX2GNgizVl29sn9,spotify:album:0RWM4Z7aX2GNgizVl29sn9,1,2019-11-12
69,The Album,Klingande,3Q1fYsdTHS2PYz4IKp0Jnc,spotify:album:3Q1fYsdTHS2PYz4IKp0Jnc,18,2019-11-15
70,Damn You for Breaking My Heart,Caitlyn Smith,22JuTPcMGDc9uOmcZZjelb,spotify:album:22JuTPcMGDc9uOmcZZjelb,1,2019-11-15
71,Take It Down (feat. Offset),Pardison Fontaine,4K5s3orvvUDgah1uxGGvt3,spotify:album:4K5s3orvvUDgah1uxGGvt3,1,2019-11-10
72,Hail Mary,Haley & Michaels,4FPi5sSY9Vm9xoFZzPJ5jp,spotify:album:4FPi5sSY9Vm9xoFZzPJ5jp,12,2019-11-15
73,Savage Life,Cuban Doll,3XAkqBQ9qYuC9amQ5ZoAbH,spotify:album:3XAkqBQ9qYuC9amQ5ZoAbH,9,2019-11-15
74,Hot Pink,Doja Cat,1MmVkhiwTH0BkNOU3nw5d3,spotify:album:1MmVkhiwTH0BkNOU3nw5d3,12,2019-11-07
75,What You See Is What You Get,Luke Combs,1LVNYhjG7hkowdUwgwOdXj,spotify:album:1LVNYhjG7hkowdUwgwOdXj,17,2019-11-08
76,Spotify Singles,MUNA,7xPNSOtnXFMOsTnvQrLeXH,spotify:album:7xPNSOtnXFMOsTnvQrLeXH,2,2019-11-13
77,A Palé,ROSALÍA,6B2RRiDJFXHojfPxKja5Mx,spotify:album:6B2RRiDJFXHojfPxKja5Mx,1,2019-11-07
78,Everyday Life,Coldplay,2lbe1rWHU4a03qZipEaMDB,spotify:album:2lbe1rWHU4a03qZipEaMDB,3,2019-11-03
79,i don't care at all,bbno$,7yLZeJTQUK0Dn5MHTLNjyI,spotify:album:7yLZeJTQUK0Dn5MHTLNjyI,10,2019-11-08
80,MAGDALENE,FKA twigs,2w8Wshbp9RCPJdPU1iOpaY,spotify:album:2w8Wshbp9RCPJdPU1iOpaY,9,2019-11-08
81,In My Room,Frank Ocean,71VX8yv9T2hNIYVZJVUWVp,spotify:album:71VX8yv9T2hNIYVZJVUWVp,1,2019-11-02
82,Hasta Que Salga el Sol,Ozuna,4UPSRgNrxzYg74TyWIWHii,spotify:album:4UPSRgNrxzYg74TyWIWHii,1,2019-11-07
83,Certified Hitmaker,Lil Mosey,0y1rJ1B0Q9MqxX9Svuyuyp,spotify:album:0y1rJ1B0Q9MqxX9Svuyuyp,14,2019-11-08
84,Under the Graveyard,Ozzy Osbourne,2Kv2WwhJr6cudEIrzxPqXD,spotify:album:2Kv2WwhJr6cudEIrzxPqXD,1,2019-11-08
