Title,Artist,Lyrics
Èkó,Coldplay,"

[Intro]
Ah-hmm

[Verse 1: Chris Martin]
Joseph rode in on a beam of light
Stray dogs to welcome him, fights, corrugate cathedrals
The sight of the pilgrims going nowhere in millions of cars

[Verse 2: Chris Martin]
Lagos a dream in the distance
From promises he'd made behind
Where there was no harvest
But he missed the sky and its circus
And countless, the stars

[Chorus: Chris Martin]
In Africa
The rivers are perfectly deep
And beautifully wide
In Africa
The mothers will sing you to sleep
And say, ""It's alright, child
It's alright""

[Bridge]
Yeah
Ah-hmm
Ah-hmm

[Chorus: Chris Martin and Tiwa Savage, Chris Martin]
In Africa
We dance in the water and hold
Each other so tight
In Africa
The mothers will sing you to sleep
And say, ""It's alright, child
It's alright""

[Verse 3: Chris Martin]
Joseph rode in on a beam of light
And dreamed of his queen by his side
There'll be a beautiful sunset
And you'll be a beautiful bride

"
Cry Cry Cry,Coldplay,"

[Intro: Jacob Collier]
Cry, cry, cry, baby
Cry, cry, cry

[Verse 1: Chris Martin & Jacob Collier]
In a book about the world
Called The Luminous Things
There are trees and flowers glowing
While Jizo Bodhisattva sings

[Chorus: Chris Martin & Jacob Collier]
When you cry, cry, cry, baby
When you cry, cry, cry
When you cry, cry, cry, baby
I'll be by your side

[Bridge: Chris Martin & Jacob Collier]
(Dum-dum-dum) Don't want us to hurt each other (Dum-dum-dum)
Or cause each other pain (Dum-dum-dum, dum-dum-dum)
(Dum-dum-dum) Don't want to fear what we don't know (Dum-dum-dum)
(Dum-dum-dum, dum-dum-dum)
(Dum-dum-dum) We're in this together, baby (Dum-dum-dum)
We're as singing is to rain (Dum-dum-dum, dum-dum-dum)
So I'll never, ever, ever let you go (Dum-dum-dum)

[Chorus: Chris Martin & Jacob Collier]
When you cry, cry, cry, baby
When you cry, cry, cry
When you cry, cry, cry, baby
I'll be by your side
Oh, yeah, yeah
Oh, yeah, yeah

[Outro: Chris Martin & Jacob Collier]
For your miracles outnumber
All the stars out in the sky

"
Old Friends,Coldplay,"

[Verse]
Tony was a friend of mine
We were together all the time
He had my back
Once he really saved my life

[Pre-Chorus]
Sometimes I wanna call him
Say, ""Hey, let's stay up 'til morning""

[Chorus]
And when I close my eyes, when I close my eyes
I see you, you
When I close my eyes, when I close my eyes
You come through, you
Time just deepens
Sweetens and mends
Old friends

[Outro]
We all melt back into the picture
Raindrops back into the water
Old friends
Hmm, hmm
And there are no ends to old friends
Amen

"
بنی آدم,Coldplay,"

[Instrumental]

[Dr. Shahrzad (Sherry) Sami]
بنی آدم اعضای یکدیگرند
که در آفرینش ز یک گوهرند
چو عضوی بدرد آورد روزگار،
دگر عضوها را نماند قرار
تو کز محنت دیگران بی‌غمی،
نشاید که نامت نهند آدمی

[Sample: The Sun  by John and Alice Coltrane]
May there be peace and love and perfection throughout all creation, through God
May there be peace and love and perfection throughout all creation, through God

[Sample: 'Otuto Nke Chukwu']
Gi nwa nke chukwu, gini ka ina ekwu
N'ihi ihe nile
Nke chukwu mere

"
Champion Of The World,Coldplay,"

[Intro: 'Otuto Nke Chukwu']
Gi nwa nke chukwu, gini ka ina ekwu
N'ihi ihe nile
Nke chukwu mere

[Verse 1: Chris Martin]
I tried my best to be just like
The other boys in school
I tried my best to get it right
And died at every duel
This mountainside is suicide
This dream will never work
Still the sign upon my headstone, write
""A champion of the world""

[Interlude]
Oh oh-oh
Oh oh-oh-oh oh oh

[Verse 2: Chris Martin]
I tried my best to stay alight
Fly like a firework
I tried my best at taking flight
But my rocket ship reversed
Oh, referee, don't stop the fight
Everyone can see I'm hurt
But I'll stand before conquistadors
Till I'm champion of the world

[Chorus: Chris Martin, Chris & Will]
(When I sail) And when I sail
I'm sailing west
(Know I might fail) Knowing I might fail
But still I'm hoping for the best
(In my dreams) And in my dreams
Onto my chest
She'll pin the colours and say
""I wandered the whole wide world but
Baby, you're the best""

[Interlude: Chris Martin]
Lo lo-lo-lo lo oh
Ee-yo-ee-yo-ee-yo-ee-yeah
Lo lo-lo-lo lo

[Outro: Chris Martin & Will Champion]
So I'm flying on my bicycle
Heading upwards from the Earth
I am jumping with no parachute
Out into the universe
I have E.T. on my bicycle
Because giving up won't work
Now I'm riding on my rocketship
And I'm champion of the world

"
Everyday Life,Coldplay,"

[Verse 1]
What in the world are we going to do?
Look at what everybody's going through
What kind of world do you want it to be?
Am I the future or the history?

[Chorus]
'Cause everyone hurts, everyone cries
Everyone tells each other all kinds of lies
Everyone falls, everybody dreams and doubts
Got to keep dancing when the lights go out

[Verse 2]
How in the world am I going to see
You as my brother, not my enemy?

[Chorus]
'Cause everyone hurts, everyone cries
Everyone sees the colour in each other's eyes
Everyone loves, everybody gets their hearts ripped out
Got to keep dancing when the lights go out
Gonna keep dancing when the lights go out
Hold tight for everyday life
Hold tight for everyday life

[Outro]
At first light, throw my arms out, open wide
Hallelujah, hallelujah
Hallelu-halle-hallelujah
Hallelujah, hallelujah
Hallelu-halle-hallelujah
Yes

"
Two Face,YNW Melly,"

[Refrain]
Melly and Melvin, two face
Melly and Melvin, two face
Melly and Melvin, two face (Dun Deal on the track)
Melly and Melvin, two face
Marvin and Melvin, two face (Marii Beatz, turn me up)
Marcus and Melvin, two face
Melly and Melvin, two face (DJ, go, let's go, let’s go)
Melly and Melvin, two face

[Chorus]
I am two face, slime, slime
I commit all Melly crime
I will never let him drop a dime
Melvin kill you, and he do the time
I'm a slimeball
Watch your back, we'll slime y’all
Uh, uh, I'm a slime ball, uh
Watch your back, we'll slime y'all

[Verse 1]
I'm a slimeball, and I'll admit it, dawg
Pullin' up, give it all, let me get it all
Your bitch, she a thot, and I know on the low
She gon' fuck on me and all my bros
Bend it over and bust it
Up that toolie, no discussion
Niggas sayin’ that they with it, niggas sayin’ that they solid
Hoo, all these goddamn bodies
So many killers in the room, it's like thirteen bodies in here
These niggas know we don’t play
I don't want you to say no more, don't wanna say no more
Don't wanna play no more (Play no more)
Don’t wanna play no more (Play no more)
I am Melvin, yeah
I'm really steppin', yeah
The Smith & Wesson, yeah
I want a F&N now
Give me that, uh, give me racks
I'm cockin' the semi back
I'm bustin' it at your ass
No cap, no cap, bitch
I ain't with the rap shit
Nigga want pressure, we pull up
Hold up, that was a sneak diss
Hold up, wait, wait, bitch
Do you like to see this?
That's your best friend, and on Twitter
And he was like, ""Yeah, just tweet this""
Now you'll die 'bout a sneak diss, damn
Young nigga poppin' shit
You niggas the opposite
They run from the cops and shit
Don't snitch to the cops
Don't fuck with the opps
You niggas don't want it
You're gamblin' with your life
She fuckin' on Melly Baby
She say she like mice
I can't even see her eyes
I hit a lick for some merchandise
Do you want to rock with Melvin?
Big ass Glock, he steppin' in Giuseppe
Wanna kiss, bitch, wait a second
I'm too fuckin' reckless
I'm receivin' texts

[Refrain]
Melly and Melvin, two face
Melly and Melvin, two face
Melly and Melvin, two face
Melly and Melvin, two face
Marvin and Melvin, two face
Marcus and Melvin, two face
Melly and Melvin, two face
Melly and Melvin, two face

[Verse 2]
I wanna get it, ooh, yes
Thick yellow bitch with tender lil' breasts
I made a million now, all the way, yeah, nigga
It's so crazy
I'm only nineteen, I'm still a baby
Don't wanna fuck with that bitch, that ho is shady
Go away please

[Chorus]
I am two face, slime, slime
I commit all Melly crime
I will never let him drop a dime
Melvin kill you, and he do the time
I'm a slimeball
Watch your back, we'll slime y'all
Uh, uh, I'm a slime ball, uh
Watch your back, we'll slime y'all

[Verse 3]
Santa Claus, I was not behavin' for it
Stompin' on these pussies in my Concords
Grandma used to whoop me with extension cord
Butter and milk, some shit that we couldn't afford
I started off on the porch
I had to jump out the Porsche
Because I wanted some more
Yeah, I wanted some more
This life, I couldn't afford
But now I can fuckin' afford it
'Posed to be my baby mama
But you switched sides and aborted

[Refrain]
Melly and Melvin, two face
Melly and Melvin, two face
Melly and Melvin, two face
Melly and Melvin, two face
Marvin and Melvin, two face
Marcus and Melvin, two face
Melly and Melvin, two face
Melly and Melvin, two face

"
Suicidal,YNW Melly,"

[Intro]
Suicidal
Your love is suicidal
Lately I've been feeling suicidal
Your love is suicidal

[Pre-Chorus]
I thought that we were meant to be
You took my heart and made it bleed
I gave you all my ecstasy
I know you'll be the death of me
Left lipstick on my Hennessy
Felt like you took my soul from me
You gave me all your ecstasy
I thought that we were meant to be

[Chorus]
Your love is suicidal
For me, your love is suicidal
To me, your love is suicidal
To me, your love is suicidal

[Refrain]
I'm sippin' Hennessy-'y-'y, ooh
I'm sippin' Hennessy-'y-'y, ooh

[Verse]
I don't want to lose my conscience
Drinkin' all this Hennessy
Baby, you took control of me
And I got too many enemies
I knew you wanted to fuck him 'cause I could just tell
Check my back, now I'm, now I'm in my bag, yeah
You did me bad, you did me bad
But I said, ""Fuck it,"" and I ran up my bag, yeah
I'm in my bag, I'm in my bag now
But you didn't even put it all on the line
For me, no, oh, I'm sorry
This is the end of us
It's crazy 'cause my heart is dangerous
Felt like you took my soul from me
Like the devil got a hold on me
Everybody wishin' bad on me
Everybody wishin' bad on me
You taught a lesson to me that I had to learn
And I'm so sorry 'cause you let our bridges burn
I said I loved you and I wish I never did
I swear to God, I swear to God, you stupid bitch

[Pre-Chorus]
I thought that we were meant to be
You took my heart and made it bleed
I gave you all my ecstasy
I know you'll be the death of me
Left lipstick on my Hennessy
Felt like you took my soul from me
No way, I gave you all my ecstasy
I thought that you were meant for me
I know you'll be the death of me
Thought we were for eternity
You fucked me up, both physically
And mentally, I can't believe

[Refrain]
I'm sippin' Hennessy-'y-'y, ooh
I'm sippin' Hennessy-'y-'y, ooh
I'm sippin' Hennessy-'y-'y, ooh
I'm sippin' Hennessy-'y-'y, ooh

[Chorus]
Your love is suicidal
For me, your love is suicidal
To me, your love is suicidal
To me, your love is suicidal

[Outro]
You taught a lesson to me that I had to learn
And I'm so sorry 'cause you let our bridges burn
I said I loved you and I wish I never did
I swear to God, I swear to God, you stupid bitch

"
Adam Sandler,YNW Melly,"

[Intro]
Ooh, woah
Ooh, woah
Ooh, woah
Ooh, woah

[Chorus]
I keep a bandana on my car antenna like I'm from Atlanta
I don't wanna buy your white boy, it look funny, call it Adam Sandler
Givenchy the money and splash the blue hundreds inside a Giuseppe sandal
She suckin' my dick in front of the kids while they watchin' Disney Channel
And I was like, ""Mama, are you glad that you ain't abort me?""
I was like, ""Mama, are you glad you ain't ate the Plan B?""
Your son a millionaire and he provided for his family
And tell my ex-bitch to stop tryna replace me

[Verse]
'Cause nan' one of them fuck niggas right there ain't rich as me
I'm a real Blood, G shining, ain't no bitch in me
I'm a real nigga, no Lilo, ain't no Stitch in me
Hell nah, bitch, ain't no switch in me
Need a hundred K just to get to me
And these pussy ass niggas be history
Bad lil' ho, she super thick, I think this ho be hittin' me
Fuck ass nigga better stop that shit 'cause killers over, oversee
Overseas, overseas, got killers waitin' overseas
No, wait, huh

[Chorus]
I keep a bandana on my car antenna like I'm from Atlanta
I don't wanna buy your white boy, it look funny, call it Adam Sandler
Givenchy the money and splash the blue hundreds inside a Giuseppe sandal
She suckin' my dick in front of the kids while they watchin' Disney Channel
And I was like, ""Mama, are you glad that you ain't abort me?""
I was like, ""Mama, are you glad you ain't ate the Plan B?""
Your son a millionaire and he provided for his family
And tell my ex-bitch to stop tryna replace me

[Interlude]
Ooh, woah
Ooh, woah
Ooh, woah
Ooh, woah

[Chorus]
I keep a bandana on my car antenna like I'm from Atlanta
I don't wanna buy your white boy, it look funny, call it Adam Sandler
Givenchy the money and splash the blue hundreds inside a Giuseppe sandal
She suckin' my dick in front of the kids while they watchin' Disney Channel
And I was like, ""Mama, are you glad that you ain't abort me?""
I was like, ""Mama, are you glad you ain't ate the Plan B?""
Your son a millionaire and he provided for his family
And tell my ex-bitch to stop tryna replace me

[Outro]
So like, to all my fans and shit, the reason I ain't been postin' on Instagram and shit
'Cause I just got the um, permanent diamonds
Twenty walk, twenty bands
I gotta let go, naw, yeah, ho
I don't want no bougie bitch
I just want a lame ho
She was like, ""Where the fuck did you go?""
I was like, ""Dang, ho""
I went to Johnny Dang's though

"
Bang Bang,YNW Melly,"

[Intro]
Ayy, look
Know what I'm sayin', I'm straight out the mud with this shit, you hear me?
I be grinding like I'm still poor, you know what I'm saying?
That's what you gotta keep doing out here
Yeah, yeah, yeah, yeah, yeah, you hear me?
YNW Melly

[Chorus]
You niggas talking like you with it 'til we pulling up
Yeah, 'til we pulling up
These niggas talking like they with it 'til we pulling up, ayy
Bang bang, with the pistol I come bang bang
We are not the same, I bang Blood gang
Hit your ass, now your ass like Stranger Things
I'm an alien, these bitches think I'm stranger things

[Verse 1]
She ain't wanna listen to a nigga CD
Big Blood, big Blood, shoutout GD
Oh God, goddamn, can you see me?
I was with your main bitch taking a selfie
Selfie, selfie, she think I'm healthy
Hundred round on the pistol, you'd think I'm killing
Oh damn, oh damn, give me your billing
Address, we gon' pull up with them TECs, nigga
TECs, nigga, what the fuck you saying, nigga?
Spraying, nigga, fucking up your plans, nigga
Bands, nigga, running up them bands, nigga
Glock with a twenty-two clip, fuck them hands, nigga
I ain't tryna throw no motherfuckin' hands, boy
Run and up the pistol, tryna get them things off
And I wanna get 'em 'cause I'm rolling, yeah
Chopper with a dick and it's swollen
I'm swollen, I'm golden
I think that I need to just chill 'cause I'm way too damn hot
And these hoes wanna get up
Yeah, they tryna get up
We killed a couple times so, Lord, just please forgive us
And all these niggas in this stolen car got a body
And all these niggas in this stolen car on the molly
Except for me, you know I like to do it when I'm sober
I gotta keep composure, I slump a nigga over, gang

[Chorus]
You niggas talking like you with it 'til we pulling up
Yeah, 'til we pulling up
These niggas talking like they with it 'til we pulling up, ayy
Bang bang, with the pistol I come bang bang
We are not the same, I bang Blood gang
Hit your ass, now your ass like Stranger Things
I'm an alien, these bitches think I'm stranger things

[Verse 2]
I was sleeping, now I'm woke again
They see we blowin', but I guess this shit broke again
A nigga speakin' real heat like a frying pan
These niggas talking like they with it, we gon' find your friend
Your lil' boy layin' in the cut, he wanna spin a Benz
And your main bitch wanna fuck, we tryna split her ends
Fuck that thot, she got way too much baggage
Big Glock, and I ain't even bragging, ooh
I'm super fly like I'm Aladdin, ooh
Watch for the carpet, it is satin, ooh
These niggas talkin' like they with that
Pussy boy, fuck with me, you get your wig snatched
Pussy boy, fuck with me, you get your wig snatched
Melly wilding in a stolo with the big MAC
No cap, it's suppressor, but it's flash suppressed
Niggas talking like they with it, now your ass is guessin'
Where you at when you dead? We don't know, pussy
Leave your ass somewhere inside of your mama bushes
Fuck boy, I'm in your daddy bushes with it
Loading up the semi, busting at your fitted
These niggas talking, but I'm still the fucking G.O.A.T., uh
These niggas mad cause they ain't even own no boat, uh
I'm tryna get it in, these bitches snorting coke, uh
It's a party at the penthouse, she doing coke now

[Chorus]
You niggas talking like you with it 'til we pulling up
Yeah, 'til we pulling up
These niggas talking like they with it 'til we pulling up, ayy
Bang bang, with the pistol I come bang bang
We are not the same, I bang Blood gang
Hit your ass, now your ass like Stranger Things
I'm an alien, these bitches think I'm stranger things

[Outro]
Fuck your money printer, baby, I'm Prancer
Hopping out the coupe, turn a nigga to a dancer
Turn you to a stripper with this motherfuckin' glizzy
Pussy boy, you played with the wrong nigga, thinking I'm a bitch
And I'ma show you
Tell your main bitch bend it over, yoga
I don't give a fuck what you 'posed to be
Niggas always tryna hit a nigga with a lecture
Pussy, we done got away with murder, shut the fuck up
Boy, you say you with it, but the pistol always tucked up
I'ma show my shit 'cause if a nigga try what, bruh?
Trying what, bruh? You got me fucked up
If they come for me inside the booth, I might go next year
If they come for me inside the booth, I might go ape shit
If they come for me inside the booth, I might go next year
If they come for me inside the booth, I might go ape shit
If they come for me inside the booth, I might go next year

"
